celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c1015_m08355,121.181,6,50,NA,NA,NA,6,NA,5,4,0.2,0.0021,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08365,121.178,21,52.4,NA,NA,NA,17,NA,19,11,0.55,0.0078,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08375,121.175,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08385,121.173,12,66.7,NA,NA,NA,11,NA,10,8,0.4,0.0041,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08395,121.172,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08405,121.172,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08415,121.172,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08425,121.173,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08435,121.175,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08445,121.178,3,0,NA,NA,NA,3,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08455,121.181,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08465,121.185,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08475,121.19,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08485,121.195,20,0,NA,NA,NA,10,NA,20,7,0.35,0.0083,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08495,121.201,55,0,171,237,67,34,NA,46,16,0.8,0.019,14.6,0.587,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1015_m08505,121.208,212,0,170,236,67,103,0.243,183,19,0.95,0.0755,18.3,0.557,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c1015_m08515,107.199,188,2.1,155,237,83,126,0.278,171,20,1,0.0798,18.3,0.526,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
