celda_id,area_km2,anio_inicio,anio_fin,dtot_a,dtot_b,ini_dia_a,ini_dia_b,fin_dia_a,fin_dia_b,lon_a,lon_b,dens_a,dens_b,valida_a,valida_b,sin_estacion_a,sin_estacion_b,acuerdo,acuerdo_codigo,dif_ini,dif_fin,dif_lon
c1085_m08465,120.917,2013,2025,47,221,169,176,271,254,103,79,0.0299,0.1406,TRUE,TRUE,FALSE,FALSE,ambas,1,7,-17,-24
c1085_m08475,120.921,2013,2025,17,76,NA,171,NA,254,NA,84,0.0108,0.0483,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08485,120.927,2013,2025,12,105,NA,218,NA,241,NA,24,0.0076,0.0668,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08495,120.002,2013,2025,29,218,NA,190,NA,254,NA,65,0.0186,0.1397,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08505,120.939,2013,2025,10,64,NA,159,NA,261,NA,103,0.0064,0.0407,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08515,120.947,2013,2025,4,59,NA,196,NA,250,NA,55,0.0025,0.0375,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08525,120.955,2013,2025,7,36,NA,217,NA,248,NA,32,0.0045,0.0229,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08535,120.964,2013,2025,0,16,NA,NA,NA,NA,NA,NA,0,0.0102,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08545,120.974,2013,2025,1,12,NA,NA,NA,NA,NA,NA,6e-4,0.0076,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08555,120.984,2013,2025,23,160,NA,156,NA,242,NA,87,0.0146,0.1017,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1085_m08565,120.995,2013,2025,42,212,170,170,229,246,60,77,0.0267,0.1348,TRUE,TRUE,FALSE,FALSE,ambas,1,0,17,17
c1085_m08575,111.904,2013,2025,71,435,205,198,238,243,34,46,0.0488,0.299,TRUE,TRUE,FALSE,FALSE,ambas,1,-7,5,12
c1085_m08585,99.725,2013,2025,1,0,NA,NA,NA,NA,NA,NA,8e-4,0,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08595,36.439,2013,2025,2,13,NA,NA,NA,NA,NA,NA,0.0042,0.0274,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
